document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name,document_tone/tones/3/score,document_tone/tones/3/tone_id,document_tone/tones/3/tone_name,document_tone/tones/4/score,document_tone/tones/4/tone_id,document_tone/tones/4/tone_name
0.826138,anger,Anger,0.661415,tentative,Tentative,,,,,,,,,
0.634118,anger,Anger,0.667165,sadness,Sadness,0.677203,tentative,Tentative,,,,,,
0.637867,anger,Anger,,,,,,,,,,,,
0.612561,sadness,Sadness,,,,,,,,,,,,
0.572883,fear,Fear,0.564885,tentative,Tentative,,,,,,,,,
0.524536,sadness,Sadness,0.510004,tentative,Tentative,,,,,,,,,
0.622549,sadness,Sadness,0.625068,tentative,Tentative,,,,,,,,,
0.845103,sadness,Sadness,0.631794,tentative,Tentative,,,,,,,,,
0.632971,anger,Anger,,,,,,,,,,,,
0.584464,tentative,Tentative,0.604211,analytical,Analytical,,,,,,,,,
0.585792,sadness,Sadness,0.609788,confident,Confident,,,,,,,,,
0.870653,tentative,Tentative,,,,,,,,,,,,
0.67159,tentative,Tentative,,,,,,,,,,,,
0.687148,joy,Joy,,,,,,,,,,,,
0.664175,sadness,Sadness,,,,,,,,,,,,
0.850578,anger,Anger,0.652756,analytical,Analytical,0.768989,tentative,Tentative,,,,,,
0.783561,joy,Joy,0.968436,tentative,Tentative,0.730043,analytical,Analytical,,,,,,
0.532162,sadness,Sadness,0.598273,tentative,Tentative,0.818352,analytical,Analytical,,,,,,
0.635753,tentative,Tentative,,,,,,,,,,,,
0.985914,tentative,Tentative,,,,,,,,,,,,
0.801815,confident,Confident,0.622914,analytical,Analytical,,,,,,,,,
0.674373,confident,Confident,,,,,,,,,,,,
0.639107,fear,Fear,0.966,confident,Confident,,,,,,,,,
0.678441,joy,Joy,0.921978,tentative,Tentative,,,,,,,,,
0.715152,anger,Anger,,,,,,,,,,,,
0.544268,anger,Anger,0.920673,tentative,Tentative,0.855124,analytical,Analytical,,,,,,
0.547338,anger,Anger,0.564862,sadness,Sadness,,,,,,,,,
0.734416,joy,Joy,0.706892,tentative,Tentative,,,,,,,,,
0.731561,joy,Joy,0.827288,tentative,Tentative,,,,,,,,,
0.641601,anger,Anger,0.649941,confident,Confident,,,,,,,,,
0.775246,anger,Anger,0.575471,tentative,Tentative,,,,,,,,,
0.76965,sadness,Sadness,,,,,,,,,,,,
