ranking,album,artist,date,,
133,dude ranch,blink-182,1/3/1998,,
135,dude ranch,blink-182,4/25/1998,,
135,dude ranch,blink-182,7/5/1997,,
142,dude ranch,blink-182,12/20/1997,,
143,dude ranch,blink-182,12/13/1997,,
156,dude ranch,blink-182,7/11/1998,,
156,dude ranch,blink-182,11/15/1997,,
157,dude ranch,blink-182,11/29/1997,,
157,dude ranch,blink-182,11/22/1997,,
158,dude ranch,blink-182,5/9/1998,,
159,dude ranch,blink-182,7/4/1998,,
166,dude ranch,blink-182,12/6/1997,,
167,dude ranch,blink-182,7/25/1998,,
169,dude ranch,blink-182,7/18/1998,,
169,dude ranch,blink-182,11/1/1997,,
171,dude ranch,blink-182,6/13/1998,,
172,dude ranch,blink-182,5/16/1998,,
173,dude ranch,blink-182,6/20/1998,,
177,dude ranch,blink-182,11/8/1997,,
178,dude ranch,blink-182,6/27/1998,,
185,dude ranch,blink-182,8/1/1998,,
186,dude ranch,blink-182,6/6/1998,,
187,dude ranch,blink-182,9/6/1997,,
188,dude ranch,blink-182,7/26/1997,,
189,dude ranch,blink-182,8/15/1998,,
189,dude ranch,blink-182,10/25/1997,,
191,dude ranch,blink-182,5/23/1998,,
192,dude ranch,blink-182,5/30/1998,,
194,dude ranch,blink-182,8/8/1998,,
195,dude ranch,blink-182,8/22/1998,,
197,dude ranch,blink-182,7/12/1997,,
